Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
Total Fat (g),g,20.59,20.59,41603020
"Fiber, total dietary (g)",g,7.72,7.72,41603020
Energy (kcal),kcal,330.4,330.4,41603020
Protein (g),g,11.09,11.09,41603030
Carbohydrate (g),g,26.29,26.29,41603030
Total Fat (g),g,19.39,19.39,41603030
"Fiber, total dietary (g)",g,9.93,9.93,41603030
Energy (kcal),kcal,324.0,324.0,41603030
Protein (g),g,18.28,18.28,41810200
Carbohydrate (g),g,21.53,21.53,41810200
Total Fat (g),g,28.67,28.67,41810200
"Fiber, total dietary (g)",g,8.57,8.57,41810200
Energy (kcal),kcal,417.3,417.3,41810200
Protein (g),g,17.73,17.73,41810250
Carbohydrate (g),g,21.1,21.1,41810250
Total Fat (g),g,29.29,29.29,41810250
"Fiber, total dietary (g)",g,7.82,7.82,41810250
Energy (kcal),kcal,418.9,418.9,41810250
Protein (g),g,18.97,18.97,41810400
Carbohydrate (g),g,21.82,21.82,41810400
Total Fat (g),g,24.44,24.44,41810400
"Fiber, total dietary (g)",g,9.37,9.37,41810400
Energy (kcal),kcal,383.1,383.1,41810400
Protein (g),g,17.89,17.89,41810600
Carbohydrate (g),g,22.72,22.72,41810600
Total Fat (g),g,20.2,20.2,41810600
"Fiber, total dietary (g)",g,7.85,7.85,41810600
Energy (kcal),kcal,344.2,344.2,41810600
Protein (g),g,19.21,19.21,41810610
Carbohydrate (g),g,25.34,25.34,41810610
Total Fat (g),g,29.67,29.67,41810610
"Fiber, total dietary (g)",g,5.76,5.76,41810610
Energy (kcal),kcal,445.2,445.2,41810610
Protein (g),g,14.71,14.71,41811400
Carbohydrate (g),g,23.94,23.94,41811400
Total Fat (g),g,29.95,29.95,41811400
"Fiber, total dietary (g)",g,5.84,5.84,41811400
Energy (kcal),kcal,424.2,424.2,41811400
Protein (g),g,18.17,18.17,41811600
Carbohydrate (g),g,22.64,22.64,41811600
Total Fat (g),g,20.46,20.46,41811600
"Fiber, total dietary (g)",g,7.12,7.12,41811600
Energy (kcal),kcal,347.4,347.4,41811600
Protein (g),g,13.04,13.04,41811800
Carbohydrate (g),g,22.41,22.41,41811800
Total Fat (g),g,18.28,18.28,41811800
"Fiber, total dietary (g)",g,6.36,6.36,41811800
Energy (kcal),kcal,306.3,306.3,41811800
Protein (g),g,17.81,17.81,41811890
Carbohydrate (g),g,17.15,17.15,41811890
Total Fat (g),g,21.0,21.0,41811890
"Fiber, total dietary (g)",g,7.78,7.78,41811890
Energy (kcal),kcal,328.8,328.8,41811890
Protein (g),g,15.15,15.15,41811950
Carbohydrate (g),g,25.48,25.48,41811950
Total Fat (g),g,24.21,24.21,41811950
"Fiber, total dietary (g)",g,9.39,9.39,41811950
Energy (kcal),kcal,380.4,380.4,41811950
Protein (g),g,16.07,16.07,41812400
Carbohydrate (g),g,16.89,16.89,41812400
Total Fat (g),g,19.84,19.84,41812400
"Fiber, total dietary (g)",g,7.7,7.7,41812400
Energy (kcal),kcal,310.4,310.4,41812400
Protein (g),g,14.07,14.07,41812500
Carbohydrate (g),g,25.21,25.21,41812500
Total Fat (g),g,26.21,26.21,41812500
"Fiber, total dietary (g)",g,7.46,7.46,41812500
Energy (kcal),kcal,393.0,393.0,41812500
Protein (g),g,12.04,12.04,41812510
Carbohydrate (g),g,18.39,18.39,41812510
Total Fat (g),g,26.13,26.13,41812510
"Fiber, total dietary (g)",g,7.63,7.63,41812510
Energy (kcal),kcal,356.9,356.9,41812510
Protein (g),g,15.13,15.13,41812600
Carbohydrate (g),g,17.65,17.65,41812600
Total Fat (g),g,27.44,27.44,41812600
"Fiber, total dietary (g)",g,9.69,9.69,41812600
Energy (kcal),kcal,378.1,378.1,41812600
Protein (g),g,12.82,12.82,41812800
Carbohydrate (g),g,21.89,21.89,41812800
Total Fat (g),g,32.13,32.13,41812800
"Fiber, total dietary (g)",g,7.2,7.2,41812800
Energy (kcal),kcal,428.0,428.0,41812800
Protein (g),g,15.86,15.86,41812850
Carbohydrate (g),g,16.59,16.59,41812850
Total Fat (g),g,26.59,26.59,41812850
"Fiber, total dietary (g)",g,6.03,6.03,41812850
Energy (kcal),kcal,369.1,369.1,41812850
Protein (g),g,19.13,19.13,41901010
Carbohydrate (g),g,24.85,24.85,41901010
Total Fat (g),g,29.32,29.32,41901010
"Fiber, total dietary (g)",g,8.98,8.98,41901010
Energy (kcal),kcal,439.8,439.8,41901010
Protein (g),g,15.81,15.81,41901020
Carbohydrate (g),g,21.34,21.34,41901020
Total Fat (g),g,30.38,30.38,41901020
"Fiber, total dietary (g)",g,10.19,10.19,41901020
Energy (kcal),kcal,422.0,422.0,41901020
Protein (g),g,14.99,14.99,41901030
Carbohydrate (g),g,27.7,27.7,41901030
Total Fat (g),g,26.25,26.25,41901030
"Fiber, total dietary (g)",g,8.18,8.18,41901030
Energy (kcal),kcal,407.0,407.0,41901030
Protein (g),g,14.59,14.59,42100050
Carbohydrate (g),g,18.16,18.16,42100050
Total Fat (g),g,17.56,17.56,42100050
"Fiber, total dietary (g)",g,6.76,6.76,42100050
Energy (kcal),kcal,289.0,289.0,42100050
Protein (g),g,15.09,15.09,42100100
Carbohydrate (g),g,20.42,20.42,42100100
Total Fat (g),g,24.23,24.23,42100100
"Fiber, total dietary (g)",g,10.31,10.31,42100100
Energy (kcal),kcal,360.1,360.1,42100100
Protein (g),g,13.65,13.65,42101000
Carbohydrate (g),g,21.37,21.37,42101000
Total Fat (g),g,19.5,19.5,42101000
"Fiber, total dietary (g)",g,5.83,5.83,42101000
Energy (kcal),kcal,315.6,315.6,42101000
Protein (g),g,17.48,17.48,42101110
Carbohydrate (g),g,22.93,22.93,42101110
Total Fat (g),g,28.91,28.91,42101110
"Fiber, total dietary (g)",g,6.32,6.32,42101110
Energy (kcal),kcal,421.8,421.8,42101110
Protein (g),g,15.65,15.65,42101120
Carbohydrate (g),g,18.75,18.75,42101120
Total Fat (g),g,20.92,20.92,42101120
"Fiber, total dietary (g)",g,5.66,5.66,42101120
Energy (kcal),kcal,325.9,325.9,42101120
Protein (g),g,11.67,11.67,42101130
Carbohydrate (g),g,19.48,19.48,42101130
Total Fat (g),g,19.25,19.25,42101130
"Fiber, total dietary (g)",g,10.33,10.33,42101130
Energy (kcal),kcal,297.9,297.9,42101130
Protein (g),g,13.28,13.28,42101300
Carbohydrate (g),g,17.12,17.12,42101300
Total Fat (g),g,20.49,20.49,42101300
"Fiber, total dietary (g)",g,8.42,8.42,42101300
Energy (kcal),kcal,306.0,306.0,42101300
Protein (g),g,11.08,11.08,42101350
Carbohydrate (g),g,26.78,26.78,42101350
Total Fat (g),g,31.92,31.92,42101350
"Fiber, total dietary (g)",g,6.78,6.78,42101350
Energy (kcal),kcal,438.7,438.7,42101350
Protein (g),g,14.55,14.55,42102000
Carbohydrate (g),g,15.69,15.69,42102000
Total Fat (g),g,27.11,27.11,42102000
"Fiber, total dietary (g)",g,7.59,7.59,42102000
Energy (kcal),kcal,365.0,365.0,42102000
Protein (g),g,12.93,12.93,42104000
Carbohydrate (g),g,18.13,18.13,42104000
Total Fat (g),g,27.31,27.31,42104000
"Fiber, total dietary (g)",g,7.6,7.6,42104000
Energy (kcal),kcal,370.0,370.0,42104000
Protein (g),g,12.12,12.12,42104050
Carbohydrate (g),g,24.5,24.5,42104050
Total Fat (g),g,25.98,25.98,42104050
"Fiber, total dietary (g)",g,9.72,9.72,42104050
Energy (kcal),kcal,380.3,380.3,42104050
Protein (g),g,11.56,11.56,42104100
Carbohydrate (g),g,25.77,25.77,42104100
Total Fat (g),g,27.6,27.6,42104100
"Fiber, total dietary (g)",g,6.15,6.15,42104100
Energy (kcal),kcal,397.7,397.7,42104100
Protein (g),g,16.75,16.75,42104105
Carbohydrate (g),g,21.23,21.23,42104105
Total Fat (g),g,31.67,31.67,42104105
"Fiber, total dietary (g)",g,6.28,6.28,42104105
Energy (kcal),kcal,437.0,437.0,42104105
Protein (g),g,16.29,16.29,42104110
Carbohydrate (g),g,20.44,20.44,42104110
Total Fat (g),g,31.85,31.85,42104110
"Fiber, total dietary (g)",g,7.18,7.18,42104110
Energy (kcal),kcal,433.6,433.6,42104110
Protein (g),g,19.16,19.16,42104500
Carbohydrate (g),g,27.3,27.3,42104500
Total Fat (g),g,21.56,21.56,42104500
"Fiber, total dietary (g)",g,9.46,9.46,42104500
Energy (kcal),kcal,379.9,379.9,42104500
Protein (g),g,19.46,19.46,42105000
Carbohydrate (g),g,18.74,18.74,42105000
Total Fat (g),g,24.05,24.05,42105000
"Fiber, total dietary (g)",g,8.1,8.1,42105000
Energy (kcal),kcal,369.2,369.2,42105000
Protein (g),g,13.15,13.15,42106000
Carbohydrate (g),g,15.6,15.6,42106000
Total Fat (g),g,20.8,20.8,42106000
"Fiber, total dietary (g)",g,6.95,6.95,42106000
Energy (kcal),kcal,302.2,302.2,42106000
Protein (g),g,14.49,14.49,42106020
Carbohydrate (g),g,17.66,17.66,42106020
Total Fat (g),g,30.6,30.6,42106020
"Fiber, total dietary (g)",g,8.98,8.98,42106020
Energy (kcal),kcal,404.0,404.0,42106020
Protein (g),g,11.27,11.27,42107000
Carbohydrate (g),g,23.98,23.98,42107000
Total Fat (g),g,27.3,27.3,42107000
"Fiber, total dietary (g)",g,10.19,10.19,42107000
Energy (kcal),kcal,386.7,386.7,42107000
Protein (g),g,10.53,10.53,42109100
Carbohydrate (g),g,18.67,18.67,42109100
Total Fat (g),g,31.42,31.42,42109100
"Fiber, total dietary (g)",g,10.07,10.07,42109100
Energy (kcal),kcal,399.6,399.6,42109100
Protein (g),g,16.99,16.99,42110000
Carbohydrate (g),g,25.51,25.51,42110000
Total Fat (g),g,18.87,18.87,42110000
"Fiber, total dietary (g)",g,8.07,8.07,42110000
Energy (kcal),kcal,339.8,339.8,42110000
Protein (g),g,12.58,12.58,42110050
Carbohydrate (g),g,17.79,17.79,42110050
Total Fat (g),g,29.65,29.65,42110050
"Fiber, total dietary (g)",g,6.25,6.25,42110050
Energy (kcal),kcal,388.3,388.3,42110050
Protein (g),g,14.72,14.72,42110100
Carbohydrate (g),g,27.79,27.79,42110100
Total Fat (g),g,20.29,20.29,42110100
"Fiber, total dietary (g)",g,10.29,10.29,42110100
Energy (kcal),kcal,352.6,352.6,42110100
Protein (g),g,19.45,19.45,42110110
Carbohydrate (g),g,22.73,22.73,42110110
Total Fat (g),g,20.05,20.05,42110110
"Fiber, total dietary (g)",g,7.12,7.12,42110110
Energy (kcal),kcal,349.2,349.2,42110110
Protein (g),g,14.32,14.32,42110120
Carbohydrate (g),g,19.48,19.48,42110120
Total Fat (g),g,21.71,21.71,42110120
"Fiber, total dietary (g)",g,10.27,10.27,42110120
Energy (kcal),kcal,330.6,330.6,42110120
Protein (g),g,11.88,11.88,42110150
Carbohydrate (g),g,25.08,25.08,42110150
Total Fat (g),g,17.51,17.51,42110150
"Fiber, total dietary (g)",g,8.46,8.46,42110150
Energy (kcal),kcal,305.4,305.4,42110150
Protein (g),g,18.74,18.74,42110160
Carbohydrate (g),g,19.2,19.2,42110160
Total Fat (g),g,20.28,20.28,42110160
"Fiber, total dietary (g)",g,8.73,8.73,42110160
Energy (kcal),kcal,334.3,334.3,42110160
Protein (g),g,16.91,16.91,42110300
Carbohydrate (g),g,24.48,24.48,42110300
Total Fat (g),g,22.29,22.29,42110300
"Fiber, total dietary (g)",g,6.81,6.81,42110300
Energy (kcal),kcal,366.2,366.2,42110300
Protein (g),g,19.1,19.1,42111000
Carbohydrate (g),g,27.59,27.59,42111000
Total Fat (g),g,24.36,24.36,42111000
"Fiber, total dietary (g)",g,9.66,9.66,42111000
Energy (kcal),kcal,406.0,406.0,42111000
Protein (g),g,14.57,14.57,42111030
Carbohydrate (g),g,21.0,21.0,42111030
Total Fat (g),g,19.85,19.85,42111030
"Fiber, total dietary (g)",g,7.65,7.65,42111030
Energy (kcal),kcal,320.9,320.9,42111030
Protein (g),g,15.34,15.34,42111040
Carbohydrate (g),g,15.7,15.7,42111040
Total Fat (g),g,24.16,24.16,42111040
"Fiber, total dietary (g)",g,9.35,9.35,42111040
Energy (kcal),kcal,341.6,341.6,42111040
Protein (g),g,16.62,16.62,42111100
Carbohydrate (g),g,23.78,23.78,42111100
Total Fat (g),g,31.14,31.14,42111100
"Fiber, total dietary (g)",g,5.69,5.69,42111100
Energy (kcal),kcal,441.9,441.9,42111100
Protein (g),g,15.51,15.51,42111110
Carbohydrate (g),g,25.79,25.79,42111110
Total Fat (g),g,25.62,25.62,42111110
"Fiber, total dietary (g)",g,7.15,7.15,42111110
Energy (kcal),kcal,395.8,395.8,42111110
Protein (g),g,11.73,11.73,42111200
Carbohydrate (g),g,27.12,27.12,42111200
Total Fat (g),g,24.56,24.56,42111200
"Fiber, total dietary (g)",g,9.81,9.81,42111200
Energy (kcal),kcal,376.4,376.4,42111200
Protein (g),g,15.77,15.77,42111205
Carbohydrate (g),g,24.3,24.3,42111205
Total Fat (g),g,29.56,29.56,42111205
"Fiber, total dietary (g)",g,8.76,8.76,42111205
Energy (kcal),kcal,426.3,426.3,42111205
Protein (g),g,14.08,14.08,42111210
Carbohydrate (g),g,22.18,22.18,42111210
Total Fat (g),g,29.55,29.55,42111210
"Fiber, total dietary (g)",g,7.39,7.39,42111210
Energy (kcal),kcal,411.0,411.0,42111210
Protein (g),g,13.99,13.99,42111500
Carbohydrate (g),g,16.66,16.66,42111500
Total Fat (g),g,31.22,31.22,42111500
"Fiber, total dietary (g)",g,6.04,6.04,42111500
Energy (kcal),kcal,403.6,403.6,42111500
Protein (g),g,16.33,16.33,42112000
Carbohydrate (g),g,20.85,20.85,42112000
Total Fat (g),g,23.58,23.58,42112000
"Fiber, total dietary (g)",g,8.86,8.86,42112000
Energy (kcal),kcal,360.9,360.9,42112000
Protein (g),g,11.1,11.1,42112100
Carbohydrate (g),g,23.24,23.24,42112100
Total Fat (g),g,29.08,29.08,42112100
"Fiber, total dietary (g)",g,9.58,9.58,42112100
Energy (kcal),kcal,399.1,399.1,42112100
Protein (g),g,12.03,12.03,42112200
Carbohydrate (g),g,27.25,27.25,42112200
Total Fat (g),g,27.34,27.34,42112200
"Fiber, total dietary (g)",g,9.83,9.83,42112200
Energy (kcal),kcal,403.2,403.2,42112200
Protein (g),g,14.87,14.87,42112210
Carbohydrate (g),g,22.55,22.55,42112210
Total Fat (g),g,31.29,31.29,42112210
"Fiber, total dietary (g)",g,9.92,9.92,42112210
Energy (kcal),kcal,431.3,431.3,42112210
Protein (g),g,14.53,14.53,42112300
Carbohydrate (g),g,19.02,19.02,42112300
Total Fat (g),g,23.4,23.4,42112300
"Fiber, total dietary (g)",g,7.46,7.46,42112300
Energy (kcal),kcal,344.8,344.8,42112300
Protein (g),g,13.08,13.08,42113000
Carbohydrate (g),g,18.95,18.95,42113000
Total Fat (g),g,30.42,30.42,42113000
"Fiber, total dietary (g)",g,5.94,5.94,42113000
Energy (kcal),kcal,401.9,401.9,42113000
Protein (g),g,16.6,16.6,42114130
Carbohydrate (g),g,17.68,17.68,42114130
Total Fat (g),g,22.67,22.67,42114130
"Fiber, total dietary (g)",g,5.9,5.9,42114130
Energy (kcal),kcal,341.2,341.2,42114130
Protein (g),g,12.93,12.93,42114140
Carbohydrate (g),g,25.54,25.54,42114140
Total Fat (g),g,30.78,30.78,42114140
"Fiber, total dietary (g)",g,6.66,6.66,42114140
Energy (kcal),kcal,430.9,430.9,42114140
Protein (g),g,14.67,14.67,42114142
Carbohydrate (g),g,21.61,21.61,42114142
Total Fat (g),g,30.6,30.6,42114142
"Fiber, total dietary (g)",g,9.26,9.26,42114142
Energy (kcal),kcal,420.5,420.5,42114142
Protein (g),g,15.12,15.12,42114145
Carbohydrate (g),g,24.25,24.25,42114145
Total Fat (g),g,30.21,30.21,42114145
"Fiber, total dietary (g)",g,5.65,5.65,42114145
Energy (kcal),kcal,429.4,429.4,42114145
Protein (g),g,14.13,14.13,42116000
Carbohydrate (g),g,27.38,27.38,42116000
Total Fat (g),g,28.6,28.6,42116000
"Fiber, total dietary (g)",g,8.21,8.21,42116000
Energy (kcal),kcal,423.4,423.4,42116000
Protein (g),g,15.27,15.27,42116100
Carbohydrate (g),g,19.99,19.99,42116100
Total Fat (g),g,25.31,25.31,42116100
"Fiber, total dietary (g)",g,8.75,8.75,42116100
Energy (kcal),kcal,368.8,368.8,42116100
Protein (g),g,14.27,14.27,42200500
Carbohydrate (g),g,24.83,24.83,42200500
Total Fat (g),g,30.42,30.42,42200500
"Fiber, total dietary (g)",g,6.34,6.34,42200500
Energy (kcal),kcal,430.2,430.2,42200500
Protein (g),g,14.56,14.56,42200510
Carbohydrate (g),g,20.79,20.79,42200510
Total Fat (g),g,27.81,27.81,42200510
"Fiber, total dietary (g)",g,6.8,6.8,42200510
Energy (kcal),kcal,391.7,391.7,42200510
Protein (g),g,16.26,16.26,42200600
Carbohydrate (g),g,26.98,26.98,42200600
Total Fat (g),g,23.77,23.77,42200600
"Fiber, total dietary (g)",g,9.97,9.97,42200600
Energy (kcal),kcal,386.9,386.9,42200600
Protein (g),g,19.44,19.44,42201000
Carbohydrate (g),g,16.8,16.8,42201000
Total Fat (g),g,21.0,21.0,42201000
"Fiber, total dietary (g)",g,10.16,10.16,42201000
Energy (kcal),kcal,334.0,334.0,42201000
Protein (g),g,19.12,19.12,42202000
Carbohydrate (g),g,16.69,16.69,42202000
Total Fat (g),g,17.72,17.72,42202000
"Fiber, total dietary (g)",g,6.37,6.37,42202000
Energy (kcal),kcal,302.7,302.7,42202000
Protein (g),g,19.46,19.46,42202010
Carbohydrate (g),g,17.78,17.78,42202010
Total Fat (g),g,25.04,25.04,42202010
"Fiber, total dietary (g)",g,9.67,9.67,42202010
Energy (kcal),kcal,374.3,374.3,42202010
Protein (g),g,10.68,10.68,42202100
Carbohydrate (g),g,23.38,23.38,42202100
Total Fat (g),g,21.66,21.66,42202100
"Fiber, total dietary (g)",g,9.74,9.74,42202100
Energy (kcal),kcal,331.2,331.2,42202100
Protein (g),g,13.05,13.05,42202130
Carbohydrate (g),g,24.47,24.47,42202130
Total Fat (g),g,27.61,27.61,42202130
"Fiber, total dietary (g)",g,6.66,6.66,42202130
Energy (kcal),kcal,398.6,398.6,42202130
Protein (g),g,10.81,10.81,42202150
Carbohydrate (g),g,20.8,20.8,42202150
Total Fat (g),g,21.84,21.84,42202150
"Fiber, total dietary (g)",g,9.48,9.48,42202150
Energy (kcal),kcal,323.0,323.0,42202150
Protein (g),g,17.7,17.7,42202200
Carbohydrate (g),g,21.43,21.43,42202200
Total Fat (g),g,26.6,26.6,42202200
"Fiber, total dietary (g)",g,8.5,8.5,42202200
Energy (kcal),kcal,395.9,395.9,42202200
Protein (g),g,17.94,17.94,42203000
Carbohydrate (g),g,21.01,21.01,42203000
Total Fat (g),g,21.63,21.63,42203000
"Fiber, total dietary (g)",g,6.87,6.87,42203000
Energy (kcal),kcal,350.5,350.5,42203000
Protein (g),g,15.33,15.33,42203100
Carbohydrate (g),g,21.33,21.33,42203100
Total Fat (g),g,24.1,24.1,42203100
"Fiber, total dietary (g)",g,6.04,6.04,42203100
Energy (kcal),kcal,363.5,363.5,42203100
Protein (g),g,16.97,16.97,42203200
Carbohydrate (g),g,18.22,18.22,42203200
Total Fat (g),g,20.45,20.45,42203200
"Fiber, total dietary (g)",g,7.58,7.58,42203200
Energy (kcal),kcal,324.8,324.8,42203200
Protein (g),g,12.55,12.55,42204050
Carbohydrate (g),g,23.11,23.11,42204050
Total Fat (g),g,23.07,23.07,42204050
"Fiber, total dietary (g)",g,7.75,7.75,42204050
Energy (kcal),kcal,350.3,350.3,42204050
Protein (g),g,15.33,15.33,42204060
Carbohydrate (g),g,18.09,18.09,42204060
Total Fat (g),g,19.84,19.84,42204060
"Fiber, total dietary (g)",g,9.83,9.83,42204060
Energy (kcal),kcal,312.2,312.2,42204060
Protein (g),g,14.4,14.4,42204100
Carbohydrate (g),g,20.84,20.84,42204100
Total Fat (g),g,18.03,18.03,42204100
"Fiber, total dietary (g)",g,7.99,7.99,42204100
Energy (kcal),kcal,303.2,303.2,42204100
Protein (g),g,15.49,15.49,42301010
Carbohydrate (g),g,22.78,22.78,42301010
Total Fat (g),g,28.11,28.11,42301010
"Fiber, total dietary (g)",g,6.45,6.45,42301010
Energy (kcal),kcal,406.1,406.1,42301010
Protein (g),g,12.77,12.77,42301015
Carbohydrate (g),g,26.1,26.1,42301015
Total Fat (g),g,31.71,31.71,42301015
"Fiber, total dietary (g)",g,6.25,6.25,42301015
Energy (kcal),kcal,440.9,440.9,42301015
Protein (g),g,14.98,14.98,42301020
Carbohydrate (g),g,18.23,18.23,42301020
Total Fat (g),g,18.4,18.4,42301020
"Fiber, total dietary (g)",g,7.16,7.16,42301020
Energy (kcal),kcal,298.4,298.4,42301020
Protein (g),g,11.79,11.79,42301115
Carbohydrate (g),g,24.77,24.77,42301115
Total Fat (g),g,25.51,25.51,42301115
"Fiber, total dietary (g)",g,6.29,6.29,42301115
Energy (kcal),kcal,375.8,375.8,42301115
Protein (g),g,10.58,10.58,42301120
Carbohydrate (g),g,26.07,26.07,42301120
Total Fat (g),g,20.14,20.14,42301120
"Fiber, total dietary (g)",g,8.51,8.51,42301120
Energy (kcal),kcal,327.9,327.9,42301120
Protein (g),g,13.53,13.53,42302010
Carbohydrate (g),g,23.13,23.13,42302010
Total Fat (g),g,22.23,22.23,42302010
"Fiber, total dietary (g)",g,6.02,6.02,42302010
Energy (kcal),kcal,346.7,346.7,42302010
Protein (g),g,12.51,12.51,42302015
Carbohydrate (g),g,17.88,17.88,42302015
Total Fat (g),g,23.92,23.92,42302015
"Fiber, total dietary (g)",g,8.76,8.76,42302015
Energy (kcal),kcal,336.8,336.8,42302015
Protein (g),g,12.87,12.87,42302020
Carbohydrate (g),g,15.56,15.56,42302020
Total Fat (g),g,25.28,25.28,42302020
"Fiber, total dietary (g)",g,8.51,8.51,42302020
Energy (kcal),kcal,341.2,341.2,42302020
Protein (g),g,19.17,19.17,42302055
Carbohydrate (g),g,23.18,23.18,42302055
Total Fat (g),g,24.57,24.57,42302055
"Fiber, total dietary (g)",g,8.35,8.35,42302055
Energy (kcal),kcal,390.5,390.5,42302055
Protein (g),g,18.85,18.85,42302060
Carbohydrate (g),g,26.33,26.33,42302060
Total Fat (g),g,22.34,22.34,42302060
"Fiber, total dietary (g)",g,6.74,6.74,42302060
Energy (kcal),kcal,381.8,381.8,42302060
Protein (g),g,12.86,12.86,42302105
Carbohydrate (g),g,22.06,22.06,42302105
Total Fat (g),g,28.66,28.66,42302105
"Fiber, total dietary (g)",g,8.02,8.02,42302105
Energy (kcal),kcal,397.6,397.6,42302105
Protein (g),g,11.11,11.11,42302110
Carbohydrate (g),g,24.95,24.95,42302110
Total Fat (g),g,29.59,29.59,42302110
"Fiber, total dietary (g)",g,6.99,6.99,42302110
Energy (kcal),kcal,410.6,410.6,42302110
Protein (g),g,16.48,16.48,42303100
Carbohydrate (g),g,21.03,21.03,42303100
Total Fat (g),g,30.84,30.84,42303100
"Fiber, total dietary (g)",g,9.66,9.66,42303100
Energy (kcal),kcal,427.6,427.6,42303100
Protein (g),g,15.23,15.23,42304010
Carbohydrate (g),g,24.53,24.53,42304010
Total Fat (g),g,30.75,30.75,42304010
"Fiber, total dietary (g)",g,7.98,7.98,42304010
Energy (kcal),kcal,435.8,435.8,42304010
Protein (g),g,13.32,13.32,42304020
Carbohydrate (g),g,25.35,25.35,42304020
Total Fat (g),g,20.8,20.8,42304020
"Fiber, total dietary (g)",g,7.46,7.46,42304020
Energy (kcal),kcal,341.9,341.9,42304020
Protein (g),g,18.29,18.29,42304030
Carbohydrate (g),g,24.96,24.96,42304030
Total Fat (g),g,23.56,23.56,42304030
"Fiber, total dietary (g)",g,6.63,6.63,42304030
Energy (kcal),kcal,385.0,385.0,42304030
Protein (g),g,13.7,13.7,42304040
Carbohydrate (g),g,19.15,19.15,42304040
Total Fat (g),g,20.14,20.14,42304040
"Fiber, total dietary (g)",g,9.17,9.17,42304040
Energy (kcal),kcal,312.7,312.7,42304040
Protein (g),g,12.77,12.77,42305010
Carbohydrate (g),g,21.4,21.4,42305010
Total Fat (g),g,23.29,23.29,42305010
"Fiber, total dietary (g)",g,10.31,10.31,42305010
Energy (kcal),kcal,346.3,346.3,42305010
Protein (g),g,14.02,14.02,42305020
Carbohydrate (g),g,16.46,16.46,42305020
Total Fat (g),g,18.85,18.85,42305020
"Fiber, total dietary (g)",g,8.44,8.44,42305020
Energy (kcal),kcal,291.6,291.6,42305020
Protein (g),g,15.89,15.89,42401010
Carbohydrate (g),g,20.93,20.93,42401010
Total Fat (g),g,23.98,23.98,42401010
"Fiber, total dietary (g)",g,5.86,5.86,42401010
Energy (kcal),kcal,363.1,363.1,42401010
Protein (g),g,15.15,15.15,42401100
Carbohydrate (g),g,22.06,22.06,42401100
Total Fat (g),g,19.74,19.74,42401100
"Fiber, total dietary (g)",g,6.1,6.1,42401100
Energy (kcal),kcal,326.5,326.5,42401100
Protein (g),g,11.61,11.61,42401200
Carbohydrate (g),g,16.73,16.73,42401200
Total Fat (g),g,26.65,26.65,42401200
"Fiber, total dietary (g)",g,6.54,6.54,42401200
Energy (kcal),kcal,353.2,353.2,42401200
Protein (g),g,12.76,12.76,42402010
Carbohydrate (g),g,17.69,17.69,42402010
Total Fat (g),g,31.87,31.87,42402010
"Fiber, total dietary (g)",g,9.7,9.7,42402010
Energy (kcal),kcal,408.6,408.6,42402010
Protein (g),g,12.57,12.57,42403010
Carbohydrate (g),g,19.72,19.72,42403010
Total Fat (g),g,20.65,20.65,42403010
"Fiber, total dietary (g)",g,7.96,7.96,42403010
Energy (kcal),kcal,315.0,315.0,42403010
Protein (g),g,10.68,10.68,42404010
Carbohydrate (g),g,24.26,24.26,42404010
Total Fat (g),g,25.35,25.35,42404010
"Fiber, total dietary (g)",g,9.91,9.91,42404010
Energy (kcal),kcal,367.9,367.9,42404010
Protein (g),g,11.98,11.98,42500000
Carbohydrate (g),g,26.01,26.01,42500000
Total Fat (g),g,29.38,29.38,42500000
"Fiber, total dietary (g)",g,6.21,6.21,42500000
Energy (kcal),kcal,416.4,416.4,42500000
Protein (g),g,14.09,14.09,42500100
Carbohydrate (g),g,17.65,17.65,42500100
Total Fat (g),g,21.32,21.32,42500100
"Fiber, total dietary (g)",g,6.86,6.86,42500100
Energy (kcal),kcal,318.8,318.8,42500100
Protein (g),g,15.51,15.51,42501000
Carbohydrate (g),g,20.83,20.83,42501000
Total Fat (g),g,31.72,31.72,42501000
"Fiber, total dietary (g)",g,6.21,6.21,42501000
Energy (kcal),kcal,430.8,430.8,42501000
Protein (g),g,19.26,19.26,42501500
Carbohydrate (g),g,18.44,18.44,42501500
Total Fat (g),g,29.09,29.09,42501500
"Fiber, total dietary (g)",g,7.23,7.23,42501500
Energy (kcal),kcal,412.6,412.6,42501500
Protein (g),g,11.79,11.79,42502100
Carbohydrate (g),g,26.72,26.72,42502100
Total Fat (g),g,22.13,22.13,42502100
"Fiber, total dietary (g)",g,8.76,8.76,42502100
Energy (kcal),kcal,353.2,353.2,42502100
Protein (g),g,15.6,15.6,43101050
Carbohydrate (g),g,21.63,21.63,43101050
Total Fat (g),g,24.94,24.94,43101050
"Fiber, total dietary (g)",g,9.11,9.11,43101050
Energy (kcal),kcal,373.4,373.4,43101050
Protein (g),g,11.29,11.29,43101100
Carbohydrate (g),g,24.22,24.22,43101100
Total Fat (g),g,30.94,30.94,43101100
"Fiber, total dietary (g)",g,5.88,5.88,43101100
Energy (kcal),kcal,420.5,420.5,43101100
Protein (g),g,11.77,11.77,43101150
Carbohydrate (g),g,24.86,24.86,43101150
Total Fat (g),g,24.06,24.06,43101150
